word	frequency	misspellings	corrected_form	phonetic_code	edit_distance	syllables	pos_tag	ngram_prefix	ngram_suffix	language_model_score	context_category
penatrate	173	penatrate	penetrate	PENE	1	1	NN	pe	te	0.85	general
percetion	174	percetion	perception	PERC	1	1	NN	pe	on	0.85	general
permision	175	permision	permission	PERM	1	1	NN	pe	on	0.85	general
persistance	176	persistance	persistence	PERS	1	1	NN	pe	ce	0.85	general
pessimisim	177	pessimisim	pessimism	PESS	1	1	NN	pe	sm	0.85	general
philosephy	178	philosephy	philosophy	PHIL	1	1	NN	ph	hy	0.85	general
physicaly	179	physicaly	physically	PHYS	1	1	NN	ph	ly	0.85	general
poignent	180	poignent	poignant	POIG	1	1	NN	po	nt	0.85	general
polititian	181	polititian	politician	POLI	1	1	NN	po	an	0.85	general
polutant	182	polutant	pollutant	POLL	1	1	NN	po	nt	0.85	general
posession	183	posession	possession	POSS	1	1	NN	po	on	0.85	general
predecesser	184	predecesser	predecessor	PRED	1	1	NN	pr	or	0.85	general
preperation	185	preperation	preparation	PREP	1	1	NN	pr	on	0.85	general
pretencious	186	pretencious	pretentious	PRET	1	1	NN	pr	us	0.85	general
preveous	187	preveous	previous	PREV	1	1	NN	pr	us	0.85	general
privalege	188	privalege	privilege	PRIV	1	1	NN	pr	ge	0.85	general
procrastinate	189	procrastinate	procrastinate	PROC	1	1	NN	pr	te	0.85	general
proficiant	190	proficiant	proficient	PROF	1	1	NN	pr	nt	0.85	general
prominant	191	prominant	prominent	PROM	1	1	NN	pr	nt	0.85	general
propagenda	192	propagenda	propaganda	PROP	1	1	NN	pr	da	0.85	general
prosecute	193	prosecute	prosecute	PROS	1	1	NN	pr	te	0.85	general
provacative	194	provacative	provocative	PROV	1	1	NN	pr	ve	0.85	general
psycholgy	195	psycholgy	psychology	PSYC	1	1	NN	ps	gy	0.85	general
punctuaion	196	punctuaion	punctuation	PUNC	1	1	NN	pu	on	0.85	general
purpouse	197	purpouse	purpose	PURP	1	1	NN	pu	se	0.85	general
quarentine	198	quarentine	quarantine	QUAR	1	1	NN	qu	ne	0.85	general
radically	199	radically	radically	RADI	1	1	NN	ra	ly	0.85	general
rationale	200	rationale	rationale	RATI	1	1	NN	ra	le	0.85	general
reckless	201	reckless	reckless	RECK	1	1	NN	re	ss	0.85	general
recognise	202	recognise	recognize	RECO	1	1	NN	re	ze	0.85	general
reconcile	203	reconcile	reconcile	RECO	1	1	NN	re	le	0.85	general
recruitmet	204	recruitmet	recruitment	RECR	1	1	NN	re	nt	0.85	general
redundent	205	redundent	redundant	REDU	1	1	NN	re	nt	0.85	general
relateable	206	relateable	relatable	RELA	1	1	NN	re	le	0.85	general
reluctence	207	reluctence	reluctance	RELU	1	1	NN	re	ce	0.85	general
remidial	208	remidial	remedial	REME	1	1	NN	re	al	0.85	general
renaisance	209	renaisance	renaissance	RENA	1	1	NN	re	ce	0.85	general
resentement	210	resentement	resentment	RESE	1	1	NN	re	nt	0.85	general
resillience	211	resillience	resilience	RESI	1	1	NN	re	ce	0.85	general
responcibility	212	responcibility	responsibility	RESP	1	1	NN	re	ty	0.85	general
restaraunt	213	restaraunt	restaurant	REST	1	1	NN	re	nt	0.85	general
reverant	214	reverant	reverent	REVE	1	1	NN	re	nt	0.85	general
rigourous	215	rigourous	rigorous	RIGO	1	1	NN	ri	us	0.85	general
sacrement	216	sacrement	sacrament	SACR	1	1	NN	sa	nt	0.85	general
sacrifise	217	sacrifise	sacrifice	SACR	1	1	NN	sa	ce	0.85	general
salery	218	salery	salary	SALA	1	1	NN	sa	ry	0.85	general
satelite	219	satelite	satellite	SATE	1	1	NN	sa	te	0.85	general
satisfaction	220	satisfaction	satisfaction	SATI	1	1	NN	sa	on	0.85	general
scenario	221	scenario	scenario	SCEN	1	1	NN	sc	io	0.85	general
scrutinise	222	scrutinise	scrutinize	SCRU	1	1	NN	sc	ze	0.85	general
seize	    223	seize	    seize	    SEIZ	1	1	NN	se	ze	0.85	general
sensative	224	sensative	sensitive	SENS	1	1	NN	se	ve	0.85	general
signifcant	225	signifcant	significant	SIGN	1	1	NN	si	nt	0.85	general
simultaneous226	simultaneous	simultaneous	SIMU	1	1	NN	si	us	0.85	general
sincerely	227	sincerely	sincerely	SINC	1	1	NN	si	ly	0.85	general
slander	    228	slander	    slander	    SLAN	1	1	NN	sl	er	0.85	general
solemnly	229	solemnly	solemnly	SOLE	1	1	NN	so	ly	0.85	general
soverign	230	soverign	sovereign	SOVE	1	1	NN	so	gn	0.85	general
speciman	231	speciman	specimen	SPEC	1	1	NN	sp	en	0.85	general
spontaneus	232	spontaneus	spontaneous	SPON	1	1	NN	sp	us	0.85	general
staionary	233	staionary	stationary	STAT	1	1	NN	st	ry	0.85	general
stereotype	234	stereotype	stereotype	STER	1	1	NN	st	pe	0.85	general
stradegy	235	stradegy	strategy	STRA	1	1	NN	st	gy	0.85	general
stuborn	    236	stuborn	    stubborn	STUB	1	1	NN	st	rn	0.85	general
subconcious	237	subconcious	subconscious SUBC	1	1	NN	su	us	0.85	general
subsidise	238	subsidise	subsidize	SUBS	1	1	NN	su	ze	0.85	general
substancial	239	substancial	substantial	SUBS	1	1	NN	su	al	0.85	general
succesful	240	succesful	successful	SUCC	1	1	NN	su	ul	0.85	general
susceptable	241	susceptable	susceptible	SUSC	1	1	NN	su	le	0.85	general
sustainible	242	sustainible	sustainable	SUST	1	1	NN	su	le	0.85	general
symetry	    243	symetry	    symmetry	SYMM	1	1	NN	sy	ry	0.85	general
synomym	    244	synomym	    synonym	    SYNO	1	1	NN	sy	ym	0.85	general
tendencies	245	tendencies	tendencies	TEND	1	1	NN	te	es	0.85	general
terrifiyng	246	terrifiyng	terrifying	TERR	1	1	NN	te	ng	0.85	general
testamony	247	testamony	testimony	TEST	1	1	NN	te	ny	0.85	general
theraputic	248	theraputic	therapeutic	THER	1	1	NN	th	ic	0.85	general
tolerence	249	tolerence	tolerance	TOLE	1	1	NN	to	ce	0.85	general
tradgedy	100	tradgedy	tragedy 	TRAG	1	1	NN	tr	dy	0.85	general
transcribe	101	transcribe	transcribe	TRAN	1	1	NN	tr	be	0.85	general
transition	102	transition	transition	TRAN	1	1	NN	tr	on	0.85	general
transparant	103	transparant	transparent	TRAN	1	1	NN	tr	nt	0.85	general
treacherous	104	treacherous	treacherous	TREA	1	1	NN	tr	us	0.85	general
tremendous	105	tremendous	tremendous	TREM	1	1	NN	tr	us	0.85	general
tyrannical	106	tyrannical	tyrannical	TYRA	1	1	NN	ty	al	0.85	general
ubiquitous	107	ubiquitous	ubiquitous	UBIQ	1	1	NN	ub	us	0.85	general
undermine	108	undermine	undermine	UNDE	1	1	NN	un	ne	0.85	general
vandilism	109	vandilism	vandalism	VAND	1	1	NN	va	sm	0.85	general
varaition	110	varaition	variation	VARI	1	1	NN	va	on	0.85	general
vegeterian	111	vegeterian	vegetarian	VEGE	1	1	NN	ve	an	0.85	general
vehemently	112	vehemently	vehemently	VEHE	1	1	NN	ve	ly	0.85	general
vengence	113	vengence	vengeance	VENG	1	1	NN	ve	ce	0.85	general
versatile	114	versatile	versatile	VERS	1	1	NN	ve	le	0.85	general
vigilence	115	vigilence	vigilance	VIGI	1	1	NN	vi	ce	0.85	general
virtualy	116	virtualy	virtually	VIRT	1	1	NN	vi	ly	0.85	general
visualise	117	visualise	visualize	VISU	1	1	NN	vi	ze	0.85	general
vulnerable	118	vulnerable	vulnerable	VULN	1	1	NN	vu	le	0.85	general
warranted	119	warranted	warranted	WARR	1	1	NN	wa	ed	0.85	general
wellbeing	120	wellbeing	well-being	WELL	1	1	NN	we	ng	0.85	general
wholesome	121	wholesome	wholesome	WHOL	1	1	NN	wh	me	0.85	general
wilderness	122	wilderness	wilderness	WILD	1	1	NN	wi	ss	0.85	general
willingness	123	willingness	willingness	WILL	1	1	NN	wi	ss	0.85	general
wonderfull	124	wonderfull	wonderful	WOND	1	1	NN	wo	ul	0.85	general
worrysome	125	worrysome	worrisome	WORR	1	1	NN	wo	me	0.85	general
worryed	    126	worryed	    worried	    WORR	1	1	NN	wo	ed	0.85	general
worthwile	127	worthwile	worthwhile	WORT	1	1	NN	wo	le	0.85	general
zealousy	128	zealousy	zealously	ZEAL	1	1	NN	ze	ly	0.85	general
zeppelin	129	zeppelin	zeppelin	ZEPP	1	1	NN	ze	in	0.85	general
